gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000188064.9,0,0,0,0,1,3
ENSG00000188078.5,0,0,0,0,0,0
ENSG00000188130.13,0,0,0,1,2,0
ENSG00000188263.10,0,0,0,0,3,1
ENSG00000188280.11,0,0,0,0,3,0
ENSG00000188511.12,0,0,0,0,1,0
ENSG00000188636.3,0,0,2,0,1,0
ENSG00000188677.14,0,1,0,0,1,0
ENSG00000189060.5,2,1,2,1,4,4
ENSG00000189269.12,0,0,0,0,1,0
ENSG00000189295.13,0,1,0,2,2,0
ENSG00000189306.10,1,4,0,0,0,1
ENSG00000196236.12,0,0,0,1,0,0
ENSG00000196419.12,1,0,1,0,1,4
ENSG00000196431.3,0,0,0,0,0,0
ENSG00000196576.14,0,0,0,0,1,1
ENSG00000196588.14,4,2,6,7,5,1
ENSG00000197077.12,1,0,0,0,1,0
ENSG00000197182.12,0,0,0,0,2,0
ENSG00000197210.7,0,0,0,0,0,0
ENSG00000197421.9,0,0,0,0,0,0
ENSG00000197549.9,0,0,0,0,1,0
ENSG00000198062.14,0,0,0,0,1,0
ENSG00000198089.14,17,19,21,13,16,9
ENSG00000198125.12,0,0,0,0,1,0
ENSG00000198355.4,0,1,1,0,0,0
ENSG00000198445.4,0,0,0,0,2,0
ENSG00000198792.12,0,0,0,1,0,1
ENSG00000198832.10,0,0,1,1,1,1
ENSG00000198911.11,15,15,21,2,1,1
ENSG00000198951.11,1,5,1,0,2,1
ENSG00000198986.2,0,0,0,0,0,0
ENSG00000199248.1,0,0,0,0,0,0
ENSG00000199515.1,0,0,0,0,0,0
ENSG00000199695.1,0,0,0,0,1,0
ENSG00000199783.1,0,0,1,0,0,0
ENSG00000199797.1,0,1,0,0,0,0
ENSG00000199865.1,0,1,0,0,0,0
ENSG00000200057.1,0,0,0,0,0,0
ENSG00000200332.1,0,0,0,1,0,0
ENSG00000200443.1,0,0,0,0,0,0
ENSG00000200448.1,0,0,0,0,0,0
ENSG00000200683.1,0,0,0,0,0,0
ENSG00000200871.1,0,0,0,0,0,0
ENSG00000200976.1,0,0,0,0,0,0
ENSG00000200985.1,0,0,1,3,3,1
ENSG00000201078.1,0,0,0,1,0,0
ENSG00000201209.1,0,0,0,0,0,0
ENSG00000201916.1,0,0,0,1,0,0
ENSG00000202019.1,0,0,0,0,1,1
ENSG00000202058.1,0,1,0,0,1,0
ENSG00000203280.4,5,6,4,4,1,1
ENSG00000203416.3,0,0,0,0,0,0
ENSG00000203527.2,0,0,0,1,0,0
ENSG00000203618.5,0,0,0,0,0,0
ENSG00000205559.3,0,0,0,0,1,0
ENSG00000205560.12,0,0,1,0,1,0
ENSG00000205593.11,0,3,1,3,1,0
ENSG00000205632.2,0,0,0,0,6,0
ENSG00000205634.6,0,0,0,0,1,0
ENSG00000205643.10,0,0,0,1,0,1
ENSG00000205702.10,2,1,2,1,0,1
ENSG00000205704.6,0,0,0,0,0,0
ENSG00000205853.10,0,0,0,0,0,0
ENSG00000205856.3,0,0,0,0,0,1
ENSG00000206028.1,154,219,195,24,11,22
ENSG00000206066.3,0,0,0,0,0,0
ENSG00000206069.5,0,0,1,0,1,0
ENSG00000206090.4,0,0,0,0,0,0
ENSG00000206140.9,0,0,0,0,1,3
ENSG00000206142.9,0,0,0,0,0,0
ENSG00000206145.8,0,0,0,0,0,1
